,Date,Close
386,2013-01-21,16.52
387,2013-01-22,17.35
388,2013-01-23,17.5
389,2013-01-24,17.29
390,2013-01-25,17.49
391,2013-01-26,17.49
392,2013-01-27,17.6
393,2013-01-28,18.67
394,2013-01-29,19.35
395,2013-01-30,19.45
396,2013-01-31,20.46
397,2013-02-01,20.35
398,2013-02-02,19.82
399,2013-02-03,20.29
400,2013-02-04,20.3
401,2013-02-05,20.5
402,2013-02-06,20.91
403,2013-02-07,21.71
404,2013-02-08,22.4
405,2013-02-09,23.14
406,2013-02-10,23.7
407,2013-02-11,23.94
408,2013-02-12,25.47
409,2013-02-13,25.0
410,2013-02-14,27.4
411,2013-02-15,27.0
412,2013-02-16,27.5
413,2013-02-17,26.98
414,2013-02-18,26.92
415,2013-02-19,29.39
416,2013-02-20,30.0
417,2013-02-21,30.0
418,2013-02-22,30.4
419,2013-02-23,29.54
420,2013-02-24,29.78
421,2013-02-25,30.43
422,2013-02-26,31.1
423,2013-02-27,31.31
424,2013-02-28,33.53
425,2013-03-01,34.55
426,2013-03-02,34.16
427,2013-03-03,34.33
428,2013-03-04,36.52
429,2013-03-05,40.75
430,2013-03-06,42.32
431,2013-03-07,41.68
432,2013-03-08,43.76
433,2013-03-09,46.0
434,2013-03-10,45.29
435,2013-03-11,48.25
436,2013-03-12,44.84
437,2013-03-13,46.99
438,2013-03-14,46.95
439,2013-03-15,46.9
440,2013-03-16,46.74
441,2013-03-17,47.24
442,2013-03-18,50.35
443,2013-03-19,59.41
444,2013-03-20,64.2
445,2013-03-21,72.23
446,2013-03-22,69.9
447,2013-03-23,63.9
448,2013-03-24,70.22
449,2013-03-25,75.11
450,2013-03-26,79.81
451,2013-03-27,89.3
452,2013-03-28,88.52
453,2013-03-29,90.0
454,2013-03-30,92.11
455,2013-03-31,96.15
456,2013-04-01,104.7
457,2013-04-02,116.0
458,2013-04-03,133.78
459,2013-04-04,135.0
460,2013-04-05,141.8
461,2013-04-06,141.0
462,2013-04-07,164.97
463,2013-04-08,185.6
464,2013-04-09,229.0
465,2013-04-10,162.0
466,2013-04-11,83.4
467,2013-04-12,109.9
468,2013-04-13,91.64
469,2013-04-14,91.11
470,2013-04-15,74.0
471,2013-04-16,68.09
472,2013-04-17,89.98
473,2013-04-18,109.3
474,2013-04-19,117.71
475,2013-04-20,126.55
476,2013-04-21,118.81
